ID,NAME,ID_CATEGORY_PARRENT,ALIAS
1,MENTHOL,81,Rexall Vanishing Scent Pain Relieving
2,BENZALKONIUM CHLORIDE,77,Benzalkonium Chloride Towelette
3,ZINC OXIDE,14,Sesderma SESPREVEX Calming and protecting foam
4,"Bottlebrush, Callistemon citrinus",36,"Pollens - Trees, Bottlebrush, Callistemon spp."
5,TRICLOSAN,48,Foamy Mango
6,ALUMINUM CHLOROHYDRATE,52,DawnMist Antiperspirant Deodorant
7,MOMETASONE FUROATE,11,ASMANEX HFA
8,doxazosin mesylate,77,Doxazosin
9,Midazolam Hydrochloride,14,Midazolam Hydrochloride
10,Metformin Hydrochloride,91,Metformin Hydrochloride
11,"Silicon Dioxide, Sodium Fluoride, and Triclosan",57,Colgate
12,"Sodium Borate, Graphite, Potassium Sulfate, and Sodium Chloride",68,natralia
13,diltiazem hydrochloride,14,diltiazem hydrochloride
14,TITANIUM DIOXIDE,25,NWC21 NATURAL SUN PROTECTOR
15,OCTINOXATE,19,Intervene Makeup Broad Spectrum Sunscreen SPF 15 Soft Cream
16,misoprostol,91,misoprostol
17,"ZOLPIDEM TARTRATE, CHOLINE",62,Gabazolpidem-5
18,Cefprozil,72,Cefprozil
19,Methylnaltrexone bromide,58,Relistor
20,TITANIUM DIOXIDE,66,Givenchy Fluid Foundation Airy-light Mat Radiance SPF 20 Tint 2
21,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl",76,Maximum Strength Mucus Relief Severe Congestion and Cold Max
22,TRICLOSAN,5,ANTIBACTERIAL FOAMING
23,Anticoagulant Citrate Phosphate Dextrose Adenine,41,CPDA-1
24,NICOTINE,3,SUNMARK NICOTINE TRANSDERMAL SYSTEM
25,Couch Quack Grass,83,Couch Quack Grass
26,"Avobenzone, Oxybenzone, Octocrylene",2,Walgreens Anti-Sagging and Ultra Hydrating Day Broad Spectrum SPF15 Sunscreen
27,Fluvoxamine Maleate,28,Fluvoxamine Maleate
28,Metoclopramide,55,Metoclopramide
