ID,NAME,PERSON_IN_CHARGE,ADDRESS,STATUS
1,Vimbo,Andrée,2514 Dixon Place,potential
2,Eadel,Méthode,93669 Chinook Parkway,vip
3,Eabox,Méghane,54 Debs Park,platinum
4,Thoughtsphere,Aimée,97 Lawn Street,platinum
5,Wikido,Gisèle,12 Messerschmidt Circle,diamon
6,Tazzy,Naéva,81 Harper Center,golder
7,Buzzster,Maëline,5528 Center Place,golder
8,JumpXS,Léone,0139 Manufacturers Parkway,silver
9,Zooveo,Pål,5 Corscot Drive,vip
10,Kwinu,Sòng,1083 Sachs Crossing,golder
11,Brainlounge,Maéna,7 Jenifer Park,vip
12,Voonyx,Agnès,0 Vera Pass,platinum
13,Nlounge,Annotée,5 Northwestern Drive,diamon
14,Skimia,Dafnée,99 Ridgeway Junction,platinum
15,Tekfly,Clémence,10380 Del Mar Center,silver
16,Jaxworks,Lén,54389 Sunbrook Parkway,vip
17,Browsecat,Marlène,50525 Texas Pass,vip
18,Mynte,Måns,4473 Kinsman Lane,vip
19,Ainyx,Mélia,1 Nevada Center,silver
20,Gabvine,Simplifiés,21 Bunker Hill Alley,diamon
21,Bubblemix,Cléopatre,16924 Eagan Parkway,bronze
22,Zava,Magdalène,13 Redwing Hill,diamon
23,Shuffletag,Estève,37521 Gulseth Terrace,silver
24,Gabcube,Illustrée,3 Vera Center,bronze
25,Twinder,Cécile,18 Oriole Crossing,vip
26,Fanoodle,Maëly,65 Ludington Parkway,vip
27,Jaxspan,Adélie,1655 Alpine Hill,potential
28,Miboo,Adélie,40 Lerdahl Road,platinum
29,Abatz,Personnalisée,1 2nd Court,diamon
30,Fanoodle,Andréa,18 Monument Center,vip
31,Kare,Görel,8 Gateway Center,platinum
32,Trudeo,Méthode,60 Jenifer Center,potential
33,Twitternation,Cinéma,2127 Canary Avenue,platinum
34,Skyvu,Yáo,98 Thierer Place,silver
35,Brainbox,Jú,3 Eagan Plaza,vip
36,Feedspan,Adèle,46 Butternut Road,silver
37,Devshare,Mélys,23 Crowley Point,platinum
38,Flipopia,Céline,08 Monterey Parkway,silver
39,Oozz,Yóu,0251 Utah Park,golder
40,Brainsphere,Marie-thérèse,5915 Ronald Regan Drive,platinum
41,Bluejam,Zhì,2274 Lindbergh Hill,bronze
42,Meembee,Anaé,13173 Dottie Way,potential
43,Realfire,Estève,605 Menomonie Center,diamon
44,Jetpulse,Loïca,585 Dottie Place,silver
45,Oyoyo,Clélia,32219 Brentwood Road,bronze
46,Voolia,Börje,62 Golf View Alley,platinum
47,Linklinks,Marie-ève,302 Grasskamp Avenue,platinum
48,Twiyo,Naëlle,206 Summit Drive,potential
49,Agivu,Edmée,04 Cordelia Crossing,vip
50,Fadeo,Simplifiés,6 Del Sol Plaza,bronze
51,Wordtune,Publicité,37 Rutledge Point,diamon
52,Devbug,Gösta,463 Mandrake Alley,potential
53,Midel,Vérane,8881 Becker Plaza,potential
54,Skyba,Hélène,085 Judy Plaza,silver
55,Centizu,Thérèsa,48177 Ridgeway Hill,vip
56,Browsecat,Adèle,32 Anniversary Plaza,silver
57,Feedfish,Solène,30571 Cherokee Hill,potential
58,Skyndu,Gaétane,2532 Brickson Park Park,potential
59,Kaymbo,Táng,082 1st Trail,potential
60,Fivebridge,Estée,84282 Thierer Alley,golder
61,Voolia,Joséphine,898 Derek Crossing,diamon
62,Nlounge,Danièle,476 Marquette Park,platinum
63,Voolith,Ophélie,023 Rieder Trail,silver
64,Meejo,Irène,5461 Granby Trail,silver
65,Photojam,Måns,423 Weeping Birch Point,platinum
66,Dabjam,Gaétane,43140 Burrows Alley,vip
67,Browsedrive,Bérénice,7 Golf Course Trail,vip
68,Rhyloo,Åsa,31 Corry Pass,potential
69,Trudeo,Táng,4708 Sauthoff Avenue,platinum
70,Realcube,Åsa,757 Gerald Plaza,bronze
71,Jetwire,Andréa,45393 Nancy Place,golder
72,Blogpad,Marlène,97100 Glacier Hill Avenue,platinum
73,Vitz,Erwéi,2 Ruskin Road,bronze
74,Dazzlesphere,Loïca,1118 Crest Line Drive,platinum
75,Mybuzz,Andréa,238 Stoughton Drive,diamon
76,Skivee,Bérengère,58 Ridge Oak Parkway,platinum
77,Roombo,Illustrée,392 Harper Place,silver
78,Quire,Mahélie,8 Bunting Parkway,silver
79,Thoughtbridge,Esbjörn,9 Dorton Pass,vip
80,Quamba,Zoé,1 Darwin Hill,platinum
81,Twitterworks,Mårten,04 Meadow Valley Lane,potential
82,Skidoo,Marlène,37 Northview Lane,diamon
83,Izio,Marie-hélène,45 Prentice Circle,platinum
84,Podcat,Andréanne,808 Dawn Center,bronze
85,Voomm,Faîtes,41 Calypso Plaza,bronze
86,Voonyx,Léandre,4 Namekagon Drive,bronze
87,Wikivu,Léane,8306 Randy Road,potential
88,Innojam,Mégane,8 Morningstar Road,diamon
89,Gevee,Simplifiés,114 Independence Street,potential
90,Eadel,Maëlann,3904 Schlimgen Lane,bronze
91,Quimba,Josée,64 Macpherson Hill,vip
92,Skynoodle,Mélia,6297 Clemons Trail,golder
93,Vidoo,Valérie,05 Evergreen Trail,vip
94,Mudo,Léandre,321 Old Shore Road,golder
95,Flipopia,Irène,88 La Follette Way,diamon
96,Voonte,Östen,935 Talmadge Avenue,bronze
97,Katz,Séréna,06 Hazelcrest Place,potential
98,Mynte,Bénédicte,335 Milwaukee Hill,vip
99,Skiptube,Méryl,000 Anthes Court,silver
100,Divape,Bénédicte,6791 Golden Leaf Way,golder
101,Quaxo,Pò,43 Cordelia Parkway,silver
102,Einti,Marie-noël,61206 Heffernan Hill,platinum
103,Skidoo,Béatrice,80 Ohio Parkway,golder
104,Plambee,Mahélie,88 Manley Circle,platinum
105,Babbleopia,Noëlla,96481 Prairieview Street,bronze
106,Mita,Léane,44 Lillian Court,vip
107,Cogilith,Gwenaëlle,0 Colorado Center,silver
108,Thoughtsphere,Maëlyss,55 7th Avenue,silver
109,Quimm,Séverine,52 Steensland Junction,vip
110,Yoveo,Marie-françoise,1227 Jenna Plaza,diamon
111,Jazzy,Maïly,4 Bellgrove Place,vip
112,Mydo,Stévina,29 Carey Pass,golder
113,BlogXS,Clémence,65946 Evergreen Plaza,silver
114,Cogidoo,Estée,13817 Scott Street,potential
115,Wikizz,Adèle,195 Becker Street,silver
116,Quatz,Stévina,9 Scofield Plaza,silver
117,Fivebridge,Maëlla,1 Anthes Park,potential
118,Fivespan,Kuí,09142 Onsgard Court,potential
119,Rhynoodle,Desirée,028 Chinook Junction,silver
120,Skinix,Loïca,9733 Carioca Court,platinum
121,Zoonoodle,Adélie,4621 Colorado Parkway,potential
122,Yakijo,Inès,75233 Pleasure Point,silver
123,Skyble,Dà,916 Fairfield Way,platinum
124,Zoozzy,Néhémie,9959 Declaration Junction,vip
125,Skyndu,Maëlann,9 Blackbird Circle,platinum
126,Skyba,Mahélie,420 Raven Trail,diamon
127,Thoughtstorm,Léane,2 Kensington Hill,golder
128,Feednation,Marie-josée,7 Eggendart Way,diamon
129,Yotz,Néhémie,682 Tony Point,platinum
130,Skyvu,Yú,183 Carberry Street,vip
131,Devcast,Annotés,53 6th Court,bronze
132,Feedspan,Cécile,1721 Morning Hill,bronze
133,Vidoo,Naéva,694 Carpenter Avenue,potential
134,Yoveo,Adélaïde,92446 Towne Pass,diamon
135,Wordpedia,Maéna,34534 Garrison Crossing,golder
136,Zoomlounge,Maëlla,2697 Cherokee Street,diamon
137,Gigashots,Loïc,10 Trailsway Place,diamon
138,Mydo,Loïs,3871 Pierstorff Circle,platinum
139,Trudeo,Cléa,2549 Waxwing Court,platinum
140,Divavu,Yénora,78405 Red Cloud Crossing,bronze
141,Jaxbean,Esbjörn,3455 Oxford Lane,vip
142,Livepath,Léana,37 Golf Course Hill,diamon
