ID_ORDER,ID_PRODUCT,QUANTITY
957,733,45
388,451,100
132,599,74
400,437,28
387,26,78
111,178,13
46,338,76
549,912,52
285,975,2
482,104,94
427,281,61
556,754,87
131,770,83
994,839,6
612,254,35
358,138,28
540,535,29
683,40,95
895,177,77
917,769,84
189,644,10
972,166,57
67,920,91
814,308,65
380,46,42
743,894,48
384,929,73
420,411,57
270,547,62
537,436,79
646,536,45
855,51,88
935,992,5
505,106,53
242,776,24
948,350,87
445,403,67
996,756,21
94,439,14
283,931,25
486,392,22
154,940,15
213,696,84
444,704,11
751,702,46
577,211,8
104,317,26
338,525,19
367,333,55
164,21,38
868,118,46
240,458,79
729,104,60
106,265,52
137,358,64
29,817,77
419,653,22
109,379,12
981,806,80
396,323,22
378,924,76
238,930,77
699,844,10
603,721,73
635,65,3
301,746,7
631,327,33
456,141,84
332,740,64
998,707,52
249,74,50
437,650,5
872,853,25
291,983,45
239,819,14
618,920,2
221,726,86
576,315,92
18,797,53
369,457,18
384,825,89
369,738,75
227,540,26
695,948,63
91,543,70
28,154,31
262,288,32
440,834,95
328,652,83
591,169,38
573,598,31
362,410,71
109,534,23
476,412,15
641,6,11
904,600,24
501,871,66
505,899,1
503,229,19
954,678,8
844,588,25
526,398,75
308,529,52
549,111,78
795,782,74
105,388,50
709,416,87
270,938,12
551,365,45
241,709,68
754,375,22
479,1000,35
112,39,22
36,238,98
25,650,11
598,254,5
635,651,56
356,65,12
431,432,31
705,805,80
771,493,86
106,232,100
843,544,75
407,742,76
798,670,19
446,246,5
412,117,6
530,928,33
80,713,99
402,236,87
671,107,23
415,88,21
298,739,94
731,140,40
87,510,38
87,575,92
117,7,8
517,125,61
960,310,27
787,653,73
861,584,45
17,424,66
5,127,60
988,163,72
165,979,98
14,662,35
6,211,84
552,259,92
979,516,87
226,669,41
158,864,86
258,434,22
447,640,90
666,16,26
662,959,78
271,714,3
256,174,31
42,783,25
465,141,95
490,127,97
690,591,76
967,643,1
194,932,45
452,220,76
481,213,99
627,887,43
870,31,97
894,432,29
784,335,68
412,912,55
785,878,50
779,363,7
521,837,60
217,699,21
951,46,77
695,333,98
935,472,14
530,975,29
681,880,49
853,449,26
986,660,45
343,806,72
690,162,64
171,195,61
396,291,80
880,243,84
548,453,40
319,826,37
767,139,99
402,97,58
425,895,84
707,3,11
561,877,45
405,117,74
218,701,15
769,563,86
365,530,54
103,862,6
705,366,49
315,646,81
697,23,80
447,176,99
164,435,4
989,978,66
430,740,81
9,607,98
366,305,34
319,121,40
313,411,81
496,866,25
463,699,67
115,832,51
662,17,61
909,318,75
886,752,63
609,490,90
638,511,30
797,122,45
838,351,3
795,959,88
294,837,77
600,469,56
356,740,66
366,731,7
525,910,15
346,783,45
958,649,44
755,531,73
299,873,23
651,548,79
199,812,37
839,188,94
857,117,9
221,232,72
235,115,93
653,298,41
733,87,10
778,814,99
767,672,67
516,337,4
170,173,33
154,854,1
132,396,76
344,36,59
989,277,75
314,404,69
972,132,90
642,856,96
593,233,32
839,147,96
481,440,56
763,905,89
915,164,70
566,817,7
958,890,80
406,660,43
904,270,68
534,550,30
816,558,50
807,617,31
6,759,13
369,91,84
605,881,75
837,598,66
869,755,43
503,915,30
718,284,2
354,469,46
322,314,83
142,348,70
814,946,49
617,158,28
770,87,91
201,765,32
701,745,20
916,645,70
579,514,77
417,246,86
8,208,99
879,635,98
981,117,35
90,158,28
355,216,48
602,300,42
138,969,14
495,231,4
343,411,95
866,466,7
910,498,23
556,539,50
498,264,11
976,155,38
960,704,10
795,351,56
268,886,43
620,773,9
714,745,16
984,693,57
632,116,52
420,468,27
527,739,76
906,846,51
562,824,41
922,912,88
12,298,2
940,78,43
949,301,61
138,886,41
820,940,60
192,841,55
748,618,65
753,908,52
897,82,69
473,892,30
38,453,94
671,213,72
526,93,88
119,52,77
228,53,95
525,437,89
649,722,98
323,569,66
528,662,67
226,915,76
936,645,20
721,667,29
128,435,98
518,32,40
791,90,15
979,305,26
253,380,70
216,153,48
957,413,71
336,242,100
833,129,81
508,397,29
809,713,42
989,356,73
944,207,84
673,761,29
239,224,31
778,613,37
792,310,65
357,41,17
233,217,30
832,674,80
307,86,18
932,390,82
990,494,56
298,211,83
6,929,65
466,285,54
873,961,16
969,37,19
119,84,18
882,416,2
940,460,82
572,851,37
893,745,85
160,540,39
765,236,64
843,118,94
755,136,18
810,132,45
354,187,4
375,222,27
268,458,98
332,761,3
817,78,1
434,431,45
525,345,61
463,576,94
77,741,22
682,813,38
652,207,85
396,816,48
220,382,88
761,449,2
30,654,76
640,419,23
131,935,82
114,478,64
492,16,28
155,358,20
994,52,100
44,644,6
359,590,23
237,646,34
66,845,58
470,54,80
504,723,34
49,430,94
233,494,98
254,597,8
529,376,31
468,661,90
583,963,39
766,244,64
695,375,78
378,966,63
576,537,77
544,613,52
901,77,40
134,17,52
204,424,64
433,177,25
531,398,13
833,821,42
419,171,13
192,122,36
899,547,75
33,39,33
781,877,46
940,165,61
527,903,33
7,724,33
815,670,11
924,990,65
453,182,21
346,918,34
815,154,49
328,502,47
547,920,64
606,795,74
329,522,53
722,247,89
788,869,40
491,424,51
109,818,44
407,287,68
410,910,37
285,513,39
745,32,21
337,283,85
769,476,24
274,889,52
774,971,12
415,152,90
585,364,62
3,290,85
994,125,44
802,872,10
989,106,57
384,134,11
827,888,84
956,767,26
868,183,49
850,200,79
513,429,62
274,929,75
296,822,6
789,255,56
326,318,19
263,71,58
768,622,81
484,744,12
791,981,54
291,582,50
694,222,33
500,365,28
348,496,61
361,826,26
991,164,60
121,430,80
770,711,57
537,263,17
44,522,78
668,392,29
177,667,21
344,62,59
184,978,29
126,437,84
410,366,48
996,875,13
88,354,98
955,734,2
661,260,39
664,789,61
236,161,52
290,90,37
32,3,47
237,140,63
235,84,13
183,583,78
307,818,21
432,28,8
355,965,39
574,593,88
188,720,21
279,333,67
390,298,81
396,786,14
7,739,76
158,662,92
130,257,3
311,664,53
454,767,63
746,638,15
528,355,59
34,116,19
445,854,70
279,889,100
375,354,69
905,968,39
648,567,80
576,395,1
512,416,19
116,740,2
903,692,92
503,505,47
81,532,93
842,382,86
797,946,84
819,940,14
516,118,71
701,471,60
259,225,29
263,605,28
859,121,89
683,575,75
79,182,15
42,262,5
118,520,48
474,250,50
405,242,52
876,656,100
372,95,30
836,117,70
820,458,80
750,531,89
681,964,82
623,768,21
