ID,ID_MEDIA,ID_CATEGORY,ID_TRANSPORTER,ID_MATERIALS,ID_COMPANY,COUNTRY,NAME,PRICE,DESCRIPTION,QUANTITY,STOCK,WEIGHT,WIDTH,LENGHT,STATUS,HEIGHT
1,68,43,91,57,10,Philippines,"Cormorant, great",6389913,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,7276,77026,73486,990,92508,VERIFYING,326
2,19,82,91,65,28,Italy,Green-winged macaw,68955181,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,73963,32281,67677,210,20033,INACTIVE,891
3,54,73,60,8,52,Malaysia,Common zebra,70803107,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,6931,76730,10653,458,59422,VERIFYING,752
4,20,43,8,68,54,China,Red-headed woodpecker,60323298,sed vestibulum sit amet cursus id turpis integer aliquet massa id,16163,25128,29266,375,75115,VERIFYING,360
5,58,90,34,12,77,Indonesia,Black-capped capuchin,78128371,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,51313,83159,82570,91,80720,INACTIVE,61
6,19,77,6,66,18,Lebanon,"Squirrel, pine",22122769,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,85466,97221,60066,405,48975,REPORTING,428
7,10,97,60,94,10,China,Ibex,1910552,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,8857,95223,35475,637,25301,AVAILABLE,982
8,31,18,64,88,57,Mauritius,Asian lion,35366884,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,24475,74894,98586,926,87259,ACTIVE,71
9,4,98,67,98,88,Indonesia,"Goose, andean",15503797,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,30035,51471,64132,772,3536,AVAILABLE,142
10,35,63,82,62,17,Philippines,"Colobus, white-mantled",9989818,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,4852,26602,72289,576,79939,AVAILABLE,617
11,89,93,10,7,31,Indonesia,Sea birds (unidentified),52622981,porttitor id consequat in consequat ut nulla sed accumsan felis,8623,40502,41231,422,55300,SOLD OUT,118
12,73,90,31,47,50,China,Yellow-throated sandgrouse,49723797,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,17900,56201,44213,88,88356,SOLD OUT,841
13,18,36,90,96,42,China,Asian water buffalo,15972883,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,56242,74415,21567,607,83388,INACTIVE,701
